date,sku,category,region,channel,quantity,price_per_unit,discount,revenue
2023-01-02,Лидское Тёмное 1.0л,Тёмное,Минск,Сетевой ритейл,40,4.6,0.0,184.0
2023-01-02,Лидское Юбилейное 1.0л,Светлое,Могилёвская область,Сетевой ритейл,69,4.3,0.05,281.86
2023-01-02,Лидское Тёмное 0.5л,Тёмное,Минская область,Онлайн,25,2.55,0.15,54.19
2023-01-02,Лидское Вайс 0.5л,Специальное,Брестская область,Сетевой ритейл,38,2.8,0.0,106.4
2023-01-02,Лидское Пшеничное 0.5л,Специальное,Гродненская область,Сетевой ритейл,13,2.75,0.05,33.96
2023-01-02,Лидское Светлое 0.5л,Светлое,Гродненская область,Сетевой ритейл,135,2.15,0.1,261.23
2023-01-02,Лидское Светлое 1.0л,Светлое,Могилёвская область,Сетевой ритейл,110,3.9,0.0,429.0
2023-01-02,Лидское Вайс 1.0л,Специальное,Брестская область,Сетевой ритейл,37,5.1,0.0,188.7
2023-01-02,Лидское Лёгкое 0.5л,Светлое,Минск,Специализированные магазины,21,1.95,0.05,38.9
2023-01-02,Лидское Юбилейное 1.0л,Светлое,Гродненская область,Сетевой ритейл,31,4.3,0.1,119.97
2023-01-02,Лидское Светлое 1.0л,Светлое,Брестская область,Сетевой ритейл,78,3.9,0.0,304.2
2023-01-02,Лидское Безалкогольное 0.5л,Безалкогольное,Минская область,Сетевой ритейл,40,1.9,0.05,72.2
2023-01-02,Лидское Светлое 0.5л,Светлое,Минская область,Онлайн,107,2.15,0.15,195.54
2023-01-02,Лидское Светлое 0.5л,Светлое,Минск,Сетевой ритейл,74,2.15,0.1,143.19
2023-01-02,Лидское Лёгкое 0.5л,Светлое,Гомельская область,Сетевой ритейл,18,1.95,0.0,35.1
2023-01-02,Лидское Классическое 1.0л,Светлое,Брестская область,Специализированные магазины,60,3.7,0.15,188.7
2023-01-02,Лидское Нефильтрованное 0.5л,Специальное,Минск,HoReCa,23,2.95,0.0,67.85
2023-01-02,Лидское Безалкогольное 0.5л,Безалкогольное,Могилёвская область,Сетевой ритейл,22,1.9,0.0,41.8
2023-01-02,Лидское Светлое 0.5л,Светлое,Гродненская область,Сетевой ритейл,120,2.15,0.05,245.1
2023-01-02,Лидское Классическое 0.5л,Светлое,Минск,Специализированные магазины,6,2.05,0.0,12.3
2023-01-02,Лидское Тёмное 1.0л,Тёмное,Гомельская область,HoReCa,41,4.6,0.0,188.6
2023-01-02,Лидское Тёмное 0.5л,Тёмное,Минск,Сетевой ритейл,66,2.55,0.05,159.88
2023-01-03,Лидское Нефильтрованное 0.5л,Специальное,Минск,Специализированные магазины,16,2.95,0.0,47.2
2023-01-03,Лидское Тёмное 0.5л,Тёмное,Минск,Сетевой ритейл,38,2.55,0.1,87.21
2023-01-03,Лидское Лёгкое 1.0л,Светлое,Гродненская область,HoReCa,39,3.5,0.0,136.5
2023-01-03,Лидское Светлое 1.0л,Светлое,Минск,Сетевой ритейл,36,3.9,0.1,126.36
2023-01-03,Лидское Классическое 1.0л,Светлое,Гомельская область,HoReCa,20,3.7,0.0,74.0
2023-01-03,Лидское Светлое 1.5л,Светлое,Минск,Специализированные магазины,29,5.2,0.1,135.72
2023-01-03,Лидское Юбилейное 1.0л,Светлое,Брестская область,Сетевой ритейл,34,4.3,0.1,131.58
2023-01-03,Лидское Лёгкое 0.5л,Светлое,Могилёвская область,HoReCa,6,1.95,0.1,10.53
2023-01-03,Лидское Светлое 0.5л,Светлое,Витебская область,Сетевой ритейл,37,2.15,0.1,71.59
2023-01-03,Лидское Классическое 1.0л,Светлое,Гомельская область,HoReCa,43,3.7,0.0,159.1
2023-01-03,Лидское Классическое 1.0л,Светлое,Минск,HoReCa,52,3.7,0.1,173.16
2023-01-03,Лидское Светлое 1.5л,Светлое,Витебская область,Сетевой ритейл,53,5.2,0.0,275.6
2023-01-03,Лидское Классическое 1.0л,Светлое,Минск,Сетевой ритейл,22,3.7,0.0,81.4
2023-01-03,Лидское Юбилейное 0.5л,Светлое,Гомельская область,Онлайн,60,2.45,0.0,147.0
2023-01-03,Лидское Нефильтрованное 0.5л,Специальное,Минская область,Онлайн,12,2.95,0.0,35.4
2023-01-03,Лидское Янтарное 0.5л,Тёмное,Минск,Онлайн,25,2.65,0.0,66.25
2023-01-03,Лидское Пшеничное 0.5л,Специальное,Минск,Сетевой ритейл,33,2.75,0.0,90.75
2023-01-03,Лидское Классическое 0.5л,Светлое,Минская область,Специализированные магазины,84,2.05,0.0,172.2
2023-01-03,Лидское Юбилейное 1.0л,Светлое,Гродненская область,Сетевой ритейл,56,4.3,0.05,228.76
2023-01-03,Лидское Светлое 0.5л,Светлое,Гомельская область,Сетевой ритейл,97,2.15,0.05,198.12
2023-01-03,Лидское Классическое 0.5л,Светлое,Брестская область,Сетевой ритейл,56,2.05,0.0,114.8
2023-01-03,Лидское Безалкогольное 0.5л,Безалкогольное,Минская область,Сетевой ритейл,27,1.9,0.1,46.17
2023-01-03,Лидское Классическое 0.5л,Светлое,Минская область,Сетевой ритейл,38,2.05,0.0,77.9
2023-01-03,Лидское Юбилейное 1.0л,Светлое,Минская область,Сетевой ритейл,69,4.3,0.0,296.7
2023-01-03,Лидское Янтарное 0.5л,Тёмное,Брестская область,HoReCa,17,2.65,0.05,42.8
2023-01-03,Лидское Юбилейное 0.5л,Светлое,Гродненская область,Сетевой ритейл,13,2.45,0.0,31.85
2023-01-03,Лидское Тёмное 0.5л,Тёмное,Гродненская область,Специализированные магазины,80,2.55,0.0,204.0
2023-01-03,Лидское Тёмное 0.5л,Тёмное,Минск,Сетевой ритейл,16,2.55,0.1,36.72
2023-01-03,Лидское Классическое 1.0л,Светлое,Минск,Сетевой ритейл,67,3.7,0.0,247.9
2023-01-03,Лидское Нефильтрованное 0.5л,Специальное,Минская область,HoReCa,15,2.95,0.05,42.04
2023-01-03,Лидское Безалкогольное 0.5л,Безалкогольное,Минск,Сетевой ритейл,20,1.9,0.0,38.0
2023-01-04,Лидское Светлое 1.5л,Светлое,Минская область,HoReCa,38,5.2,0.0,197.6
2023-01-04,Лидское Юбилейное 1.0л,Светлое,Брестская область,Сетевой ритейл,72,4.3,0.05,294.12
2023-01-04,Лидское Тёмное 1.0л,Тёмное,Минск,Специализированные магазины,21,4.6,0.0,96.6
2023-01-04,Лидское Классическое 0.5л,Светлое,Витебская область,Сетевой ритейл,89,2.05,0.0,182.45
2023-01-04,Лидское Светлое 1.0л,Светлое,Могилёвская область,Сетевой ритейл,64,3.9,0.0,249.6
2023-01-04,Лидское Светлое 1.5л,Светлое,Гомельская область,Сетевой ритейл,58,5.2,0.1,271.44
2023-01-04,Лидское Безалкогольное 0.5л,Безалкогольное,Могилёвская область,Специализированные магазины,17,1.9,0.15,27.45
2023-01-04,Лидское Лёгкое 0.5л,Светлое,Брестская область,Специализированные магазины,45,1.95,0.0,87.75
2023-01-04,Лидское Классическое 1.0л,Светлое,Гродненская область,HoReCa,45,3.7,0.05,158.17
2023-01-04,Лидское Тёмное 1.0л,Тёмное,Минск,Сетевой ритейл,25,4.6,0.05,109.25
2023-01-04,Лидское Классическое 0.5л,Светлое,Гродненская область,Специализированные магазины,85,2.05,0.0,174.25
2023-01-04,Лидское Светлое 0.5л,Светлое,Минская область,Сетевой ритейл,109,2.15,0.0,234.35
2023-01-04,Лидское Портер 0.5л,Тёмное,Минск,Сетевой ритейл,11,2.9,0.05,30.3
2023-01-04,Лидское Безалкогольное 1.0л,Безалкогольное,Минск,Сетевой ритейл,4,3.4,0.0,13.6
2023-01-04,Лидское Юбилейное 1.0л,Светлое,Минск,Сетевой ритейл,66,4.3,0.1,255.42
2023-01-04,Лидское Вайс 0.5л,Специальное,Брестская область,HoReCa,39,2.8,0.05,103.74
2023-01-04,Лидское Юбилейное 1.0л,Светлое,Минск,Сетевой ритейл,58,4.3,0.05,236.93
2023-01-04,Лидское Лёгкое 0.5л,Светлое,Могилёвская область,Сетевой ритейл,43,1.95,0.05,79.66
2023-01-04,Лидское Вайс 0.5л,Специальное,Гродненская область,Сетевой ритейл,9,2.8,0.0,25.2
2023-01-04,Лидское Тёмное 0.5л,Тёмное,Минск,Сетевой ритейл,23,2.55,0.05,55.72
2023-01-04,Лидское Юбилейное 1.0л,Светлое,Минск,Сетевой ритейл,34,4.3,0.0,146.2
2023-01-04,Лидское Нефильтрованное 0.5л,Специальное,Минск,Сетевой ритейл,10,2.95,0.0,29.5
2023-01-04,Лидское Светлое 0.5л,Светлое,Брестская область,Сетевой ритейл,28,2.15,0.0,60.2
2023-01-04,Лидское Светлое 0.5л,Светлое,Минская область,Сетевой ритейл,37,2.15,0.0,79.55
2023-01-04,Лидское Классическое 0.5л,Светлое,Минская область,Специализированные магазины,34,2.05,0.1,62.73
2023-01-04,Лидское Светлое 1.5л,Светлое,Минск,Сетевой ритейл,4,5.2,0.0,20.8
2023-01-04,Лидское Ржаное 0.5л,Специальное,Минская область,Специализированные магазины,5,2.85,0.05,13.54
2023-01-04,Лидское Нефильтрованное 0.5л,Специальное,Витебская область,HoReCa,55,2.95,0.0,162.25
2023-01-04,Лидское Светлое 0.5л,Светлое,Минск,Сетевой ритейл,58,2.15,0.05,118.46
2023-01-04,Лидское Вайс 0.5л,Специальное,Минск,Специализированные магазины,37,2.8,0.05,98.42
2023-01-04,Лидское Светлое 1.0л,Светлое,Гродненская область,Специализированные магазины,43,3.9,0.0,167.7
2023-01-04,Лидское Классическое 1.0л,Светлое,Могилёвская область,Сетевой ритейл,28,3.7,0.0,103.6
2023-01-04,Лидское Юбилейное 0.5л,Светлое,Брестская область,Онлайн,76,2.45,0.0,186.2
2023-01-04,Лидское Классическое 0.5л,Светлое,Минск,Специализированные магазины,51,2.05,0.05,99.32
2023-01-04,Лидское Светлое 0.5л,Светлое,Витебская область,HoReCa,156,2.15,0.05,318.63
2023-01-04,Лидское Светлое 1.0л,Светлое,Могилёвская область,Специализированные магазины,42,3.9,0.0,163.8
2023-01-04,Лидское Тёмное 0.5л,Тёмное,Минская область,Сетевой ритейл,13,2.55,0.0,33.15
2023-01-05,Лидское Лёгкое 0.5л,Светлое,Витебская область,Сетевой ритейл,75,1.95,0.15,124.31
2023-01-05,Лидское Нефильтрованное 0.5л,Специальное,Витебская область,Специализированные магазины,34,2.95,0.0,100.3
2023-01-05,Лидское Классическое 0.5л,Светлое,Могилёвская область,Сетевой ритейл,57,2.05,0.1,105.16
2023-01-05,Лидское Портер 0.5л,Тёмное,Гродненская область,Сетевой ритейл,21,2.9,0.05,57.85
2023-01-05,Лидское Светлое 1.5л,Светлое,Гомельская область,HoReCa,20,5.2,0.0,104.0
2023-01-05,Лидское Лёгкое 0.5л,Светлое,Минск,Сетевой ритейл,15,1.95,0.05,27.79
2023-01-05,Лидское Юбилейное 1.0л,Светлое,Минск,HoReCa,21,4.3,0.0,90.3
2023-01-05,Лидское Светлое 1.0л,Светлое,Витебская область,Сетевой ритейл,112,3.9,0.1,393.12
2023-01-05,Лидское Безалкогольное 1.0л,Безалкогольное,Минск,Сетевой ритейл,10,3.4,0.1,30.6
2023-01-05,Лидское Светлое 0.5л,Светлое,Брестская область,Сетевой ритейл,58,2.15,0.05,118.46
2023-01-05,Лидское Безалкогольное 1.0л,Безалкогольное,Брестская область,Сетевой ритейл,5,3.4,0.05,16.15
2023-01-05,Лидское Светлое 0.5л,Светлое,Минск,Специализированные магазины,85,2.15,0.0,182.75
2023-01-05,Лидское Вайс 0.5л,Специальное,Минская область,Сетевой ритейл,33,2.8,0.0,92.4
2023-01-05,Лидское Классическое 0.5л,Светлое,Минская область,Специализированные магазины,50,2.05,0.0,102.5
2023-01-05,Лидское Светлое 1.5л,Светлое,Минск,Сетевой ритейл,15,5.2,0.0,78.0
2023-01-05,Лидское Портер 0.5л,Тёмное,Витебская область,Сетевой ритейл,14,2.9,0.0,40.6
2023-01-05,Лидское Тёмное 1.0л,Тёмное,Брестская область,Онлайн,26,4.6,0.0,119.6
2023-01-05,Лидское Юбилейное 0.5л,Светлое,Минск,Сетевой ритейл,89,2.45,0.0,218.05
2023-01-05,Лидское Светлое 1.0л,Светлое,Минск,Сетевой ритейл,54,3.9,0.0,210.6
2023-01-05,Лидское Пшеничное 0.5л,Специальное,Гродненская область,Специализированные магазины,40,2.75,0.0,110.0
2023-01-05,Лидское Лёгкое 0.5л,Светлое,Гродненская область,HoReCa,22,1.95,0.0,42.9
2023-01-05,Лидское Тёмное 0.5л,Тёмное,Минская область,Сетевой ритейл,39,2.55,0.0,99.45
2023-01-05,Лидское Янтарное 0.5л,Тёмное,Минская область,HoReCa,8,2.65,0.0,21.2
2023-01-05,Лидское Светлое 0.5л,Светлое,Брестская область,Сетевой ритейл,98,2.15,0.0,210.7
2023-01-06,Лидское Вайс 0.5л,Специальное,Минская область,Онлайн,34,2.8,0.0,95.2
2023-01-06,Лидское Классическое 0.5л,Светлое,Гродненская область,Специализированные магазины,55,2.05,0.0,112.75
2023-01-06,Лидское Портер 0.5л,Тёмное,Минская область,Сетевой ритейл,8,2.9,0.1,20.88
2023-01-06,Лидское Ржаное 0.5л,Специальное,Минская область,Специализированные магазины,14,2.85,0.05,37.9
2023-01-06,Лидское Классическое 0.5л,Светлое,Могилёвская область,Сетевой ритейл,55,2.05,0.0,112.75
2023-01-06,Лидское Безалкогольное 0.5л,Безалкогольное,Минск,Сетевой ритейл,21,1.9,0.0,39.9
2023-01-06,Лидское Светлое 0.5л,Светлое,Минская область,Специализированные магазины,91,2.15,0.0,195.65
2023-01-06,Лидское Светлое 1.5л,Светлое,Брестская область,Специализированные магазины,22,5.2,0.0,114.4
2023-01-06,Лидское Безалкогольное 0.5л,Безалкогольное,Гомельская область,Специализированные магазины,18,1.9,0.05,32.49
2023-01-06,Лидское Безалкогольное 0.5л,Безалкогольное,Могилёвская область,Сетевой ритейл,29,1.9,0.0,55.1
2023-01-06,Лидское Нефильтрованное 0.5л,Специальное,Гомельская область,HoReCa,27,2.95,0.0,79.65
2023-01-06,Лидское Светлое 1.0л,Светлое,Минская область,Специализированные магазины,11,3.9,0.0,42.9
2023-01-06,Лидское Юбилейное 0.5л,Светлое,Минск,Специализированные магазины,59,2.45,0.05,137.32
2023-01-06,Лидское Янтарное 0.5л,Тёмное,Гродненская область,Сетевой ритейл,7,2.65,0.0,18.55
2023-01-06,Лидское Светлое 0.5л,Светлое,Минская область,Сетевой ритейл,106,2.15,0.0,227.9
2023-01-06,Лидское Светлое 0.5л,Светлое,Могилёвская область,HoReCa,67,2.15,0.0,144.05
2023-01-06,Лидское Янтарное 0.5л,Тёмное,Могилёвская область,Специализированные магазины,14,2.65,0.0,37.1
2023-01-06,Лидское Светлое 0.5л,Светлое,Витебская область,Сетевой ритейл,164,2.15,0.05,334.97
2023-01-06,Лидское Лёгкое 1.0л,Светлое,Минск,Специализированные магазины,7,3.5,0.05,23.27
2023-01-06,Лидское Тёмное 1.0л,Тёмное,Минск,Сетевой ритейл,16,4.6,0.0,73.6
2023-01-06,Лидское Безалкогольное 0.5л,Безалкогольное,Гомельская область,Сетевой ритейл,24,1.9,0.05,43.32
2023-01-06,Лидское Юбилейное 0.5л,Светлое,Могилёвская область,HoReCa,62,2.45,0.0,151.9
2023-01-06,Лидское Тёмное 0.5л,Тёмное,Минская область,Сетевой ритейл,74,2.55,0.15,160.39
2023-01-06,Лидское Юбилейное 1.0л,Светлое,Гродненская область,Онлайн,37,4.3,0.05,151.14
2023-01-06,Лидское Портер 0.5л,Тёмное,Минская область,Сетевой ритейл,17,2.9,0.0,49.3
2023-01-07,Лидское Классическое 0.5л,Светлое,Брестская область,Специализированные магазины,19,2.05,0.0,38.95
2023-01-07,Лидское Вайс 0.5л,Специальное,Гомельская область,Сетевой ритейл,46,2.8,0.05,122.36
2023-01-07,Лидское Светлое 1.0л,Светлое,Могилёвская область,Специализированные магазины,85,3.9,0.0,331.5
2023-01-07,Лидское Светлое 1.0л,Светлое,Гродненская область,Специализированные магазины,59,3.9,0.0,230.1
2023-01-07,Лидское Ржаное 0.5л,Специальное,Гомельская область,Сетевой ритейл,2,2.85,0.0,5.7
2023-01-07,Лидское Классическое 1.0л,Светлое,Гродненская область,Специализированные магазины,5,3.7,0.0,18.5
2023-01-07,Лидское Юбилейное 0.5л,Светлое,Гомельская область,Онлайн,80,2.45,0.0,196.0
2023-01-07,Лидское Вайс 0.5л,Специальное,Минская область,HoReCa,29,2.8,0.0,81.2
2023-01-07,Лидское Лёгкое 0.5л,Светлое,Гомельская область,Сетевой ритейл,62,1.95,0.05,114.85
2023-01-07,Лидское Юбилейное 1.0л,Светлое,Могилёвская область,Сетевой ритейл,20,4.3,0.1,77.4
2023-01-07,Лидское Юбилейное 0.5л,Светлое,Минская область,Специализированные магазины,118,2.45,0.15,245.74
2023-01-07,Лидское Тёмное 1.0л,Тёмное,Минск,Сетевой ритейл,7,4.6,0.0,32.2
2023-01-07,Лидское Вайс 0.5л,Специальное,Гродненская область,Сетевой ритейл,53,2.8,0.0,148.4
2023-01-07,Лидское Светлое 1.0л,Светлое,Брестская область,Специализированные магазины,31,3.9,0.0,120.9
2023-01-07,Лидское Классическое 0.5л,Светлое,Минск,Специализированные магазины,57,2.05,0.05,111.01
2023-01-07,Лидское Классическое 1.0л,Светлое,Минская область,Специализированные магазины,15,3.7,0.1,49.95
2023-01-07,Лидское Пшеничное 0.5л,Специальное,Гродненская область,Сетевой ритейл,8,2.75,0.0,22.0
2023-01-07,Лидское Вайс 1.0л,Специальное,Гомельская область,HoReCa,19,5.1,0.0,96.9
2023-01-07,Лидское Портер 0.5л,Тёмное,Минская область,Специализированные магазины,30,2.9,0.0,87.0
2023-01-07,Лидское Нефильтрованное 0.5л,Специальное,Минск,Сетевой ритейл,35,2.95,0.15,87.76
2023-01-07,Лидское Юбилейное 0.5л,Светлое,Брестская область,Специализированные магазины,59,2.45,0.1,130.1
2023-01-07,Лидское Лёгкое 0.5л,Светлое,Гомельская область,Сетевой ритейл,43,1.95,0.0,83.85
2023-01-07,Лидское Классическое 0.5л,Светлое,Витебская область,HoReCa,55,2.05,0.0,112.75
2023-01-07,Лидское Светлое 0.5л,Светлое,Брестская область,HoReCa,36,2.15,0.15,65.79
2023-01-07,Лидское Классическое 0.5л,Светлое,Минская область,Сетевой ритейл,63,2.05,0.05,122.69
2023-01-07,Лидское Лёгкое 0.5л,Светлое,Минская область,Специализированные магазины,61,1.95,0.1,107.06
2023-01-07,Лидское Светлое 0.5л,Светлое,Витебская область,Сетевой ритейл,160,2.15,0.0,344.0
2023-01-07,Лидское Светлое 1.0л,Светлое,Гродненская область,Специализированные магазины,31,3.9,0.05,114.85
2023-01-07,Лидское Светлое 1.0л,Светлое,Минск,HoReCa,63,3.9,0.05,233.41
2023-01-07,Лидское Светлое 1.5л,Светлое,Гомельская область,Сетевой ритейл,13,5.2,0.0,67.6
2023-01-07,Лидское Светлое 1.5л,Светлое,Минск,Сетевой ритейл,10,5.2,0.1,46.8
2023-01-07,Лидское Лёгкое 1.0л,Светлое,Брестская область,Сетевой ритейл,19,3.5,0.0,66.5
2023-01-07,Лидское Юбилейное 0.5л,Светлое,Гродненская область,Специализированные магазины,18,2.45,0.0,44.1
2023-01-07,Лидское Светлое 1.5л,Светлое,Гомельская область,Сетевой ритейл,35,5.2,0.0,182.0
2023-01-07,Лидское Тёмное 1.0л,Тёмное,Минск,Специализированные магазины,23,4.6,0.0,105.8
2023-01-07,Лидское Ржаное 0.5л,Специальное,Минская область,Онлайн,3,2.85,0.05,8.12
2023-01-07,Лидское Юбилейное 0.5л,Светлое,Гродненская область,Специализированные магазины,102,2.45,0.05,237.41
2023-01-08,Лидское Светлое 0.5л,Светлое,Гродненская область,Сетевой ритейл,42,2.15,0.1,81.27
2023-01-08,Лидское Юбилейное 0.5л,Светлое,Витебская область,Специализированные магазины,73,2.45,0.0,178.85
2023-01-08,Лидское Нефильтрованное 0.5л,Специальное,Брестская область,Специализированные магазины,22,2.95,0.05,61.66
2023-01-08,Лидское Нефильтрованное 0.5л,Специальное,Гомельская область,Специализированные магазины,17,2.95,0.1,45.14
2023-01-08,Лидское Нефильтрованное 0.5л,Специальное,Минская область,Сетевой ритейл,10,2.95,0.0,29.5
2023-01-08,Лидское Классическое 0.5л,Светлое,Минск,Сетевой ритейл,36,2.05,0.05,70.11
2023-01-08,Лидское Светлое 1.0л,Светлое,Минск,Сетевой ритейл,35,3.9,0.15,116.02
2023-01-08,Лидское Портер 0.5л,Тёмное,Гомельская область,HoReCa,12,2.9,0.0,34.8
2023-01-08,Лидское Классическое 1.0л,Светлое,Гродненская область,HoReCa,57,3.7,0.05,200.35
2023-01-08,Лидское Юбилейное 0.5л,Светлое,Минск,Онлайн,87,2.45,0.0,213.15
2023-01-08,Лидское Пшеничное 0.5л,Специальное,Гомельская область,Специализированные магазины,13,2.75,0.15,30.39
2023-01-08,Лидское Пшеничное 0.5л,Специальное,Витебская область,Сетевой ритейл,19,2.75,0.05,49.64
2023-01-08,Лидское Светлое 0.5л,Светлое,Гродненская область,Сетевой ритейл,89,2.15,0.05,181.78
2023-01-08,Лидское Безалкогольное 0.5л,Безалкогольное,Гродненская область,HoReCa,4,1.9,0.1,6.84
2023-01-08,Лидское Светлое 0.5л,Светлое,Минск,Сетевой ритейл,100,2.15,0.1,193.5
2023-01-08,Лидское Вайс 0.5л,Специальное,Гомельская область,Сетевой ритейл,66,2.8,0.0,184.8
2023-01-08,Лидское Классическое 1.0л,Светлое,Гомельская область,Сетевой ритейл,8,3.7,0.0,29.6
2023-01-08,Лидское Светлое 1.0л,Светлое,Могилёвская область,Сетевой ритейл,146,3.9,0.0,569.4
2023-01-08,Лидское Светлое 0.5л,Светлое,Гомельская область,Сетевой ритейл,85,2.15,0.0,182.75
2023-01-08,Лидское Безалкогольное 0.5л,Безалкогольное,Витебская область,HoReCa,37,1.9,0.0,70.3
2023-01-08,Лидское Классическое 0.5л,Светлое,Минск,Сетевой ритейл,31,2.05,0.0,63.55
2023-01-08,Лидское Тёмное 1.0л,Тёмное,Минская область,Онлайн,25,4.6,0.0,115.0
